DATE,WIND,RAIN,T.MAX,T.MIN,T.MIN.G,IND_0,IND_1,IND_4,IND.1_0.0,IND.1_1.0,IND.1_2.0,IND.1_4.0,IND.2_0.0,IND.2_1.0,IND.2_2.0,IND.2_3.0,IND.2_4.0
1961-01-01,0.4501152453078696,0.0029850746268656717,0.35687732342007433,0.5152542372881356,0.4437086092715231,1,0,0,1,0,0,0,1,0,0,0,0
1961-01-02,0.37866315442871257,0.07611940298507462,0.27137546468401486,0.5322033898305085,0.5132450331125827,1,0,0,1,0,0,0,1,0,0,0,0
1961-01-03,0.37043134672374056,0.005970149253731343,0.20817843866171,0.4067796610169492,0.4602649006622516,1,0,0,1,0,0,0,1,0,0,0,0
1961-01-04,0.2841620019756339,0.0029850746268656717,0.2118959107806691,0.4033898305084746,0.37086092715231783,1,0,0,1,0,0,0,1,0,0,0,0
1961-01-05,0.3924925913730655,0.15522388059701492,0.27137546468401486,0.3389830508474576,0.22847682119205295,1,0,0,1,0,0,0,0,1,0,0,0
1961-01-06,0.35133355284820544,0.0,0.2453531598513011,0.43050847457627117,0.41059602649006616,1,0,0,1,0,0,0,1,0,0,0,0
1961-01-07,0.3019427066183734,0.02835820895522388,0.345724907063197,0.30847457627118646,0.24172185430463575,1,0,0,1,0,0,0,0,1,0,0,0
1961-01-08,0.4705301284162002,0.0,0.2490706319702602,0.49491525423728816,0.47682119205298007,1,0,0,1,0,0,0,1,0,0,0,0
1961-01-09,0.2647349357918999,0.12388059701492538,0.25650557620817843,0.4711864406779661,0.45033112582781454,1,0,0,1,0,0,0,1,0,0,0,0
1961-01-10,0.3760289759631215,0.0,0.2453531598513011,0.4915254237288136,0.4933774834437085,1,0,0,1,0,0,0,1,0,0,0,0
1961-01-11,0.24827132038195587,0.007462686567164179,0.3754646840148699,0.2847457627118644,0.22185430463576156,1,0,0,1,0,0,0,0,1,0,0,0
1961-01-12,0.5116891669410603,0.08955223880597014,0.4572490706319702,0.27796610169491526,0.4039735099337748,1,0,0,1,0,0,0,0,1,0,0,0
1961-01-13,0.15245307869608166,0.0,0.49070631970260215,0.576271186440678,0.586092715231788,1,0,0,1,0,0,0,1,0,0,0,0
1961-01-14,0.1014158709252552,0.0,0.2118959107806691,0.28135593220338984,0.2748344370860927,1,0,0,1,0,0,0,0,1,0,0,0
1961-01-15,0.08231807704972012,0.0,0.16728624535315986,0.22033898305084748,0.2019867549668874,1,0,0,1,0,0,0,0,1,0,0,0
1961-01-16,0.30457688508396447,0.0,0.17472118959107805,0.24745762711864408,0.2019867549668874,1,0,0,1,0,0,0,0,1,0,0,0
1961-01-17,0.4418834376028976,0.029850746268656716,0.34944237918215615,0.49830508474576274,0.3874172185430463,1,0,0,1,0,0,0,1,0,0,0,0
