DATE,WIND,RAIN,T.MAX,T.MIN,T.MIN.G,IND_0,IND_1,IND_4,IND.1_0.0,IND.1_1.0,IND.1_2.0,IND.1_4.0,IND.2_0.0,IND.2_1.0,IND.2_2.0,IND.2_3.0,IND.2_4.0
1964-04-02,0.35001646361541,0.0014925373134328358,0.29368029739776946,0.4169491525423729,0.4006622516556291,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-03,0.3895291405992756,0.0,0.27137546468401486,0.4610169491525424,0.4437086092715231,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-04,0.4198221929535726,0.0,0.2899628252788104,0.42711864406779665,0.4304635761589403,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-05,0.21666117879486335,0.07462686567164178,0.41635687732342,0.4067796610169492,0.37086092715231783,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-06,0.2413566019097794,0.0,0.41635687732342,0.49491525423728816,0.42715231788079466,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-07,0.24003951267698387,0.0,0.4721189591078066,0.3559322033898305,0.35761589403973504,1,0,0,1,0,0,0,0,1,0,0,0
1964-04-08,0.382943694435298,0.0,0.5241635687732341,0.5966101694915255,0.5695364238410595,1,0,0,1,0,0,0,0,0,1,0,0
1964-04-09,0.5943365162989793,0.005970149253731343,0.5315985130111524,0.6542372881355932,0.6092715231788078,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-10,0.2811985512018439,0.0,0.49814126394052044,0.4338983050847458,0.42384105960264895,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-11,0.330589397431676,0.016417910447761194,0.5278810408921932,0.6338983050847458,0.5695364238410595,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-12,0.47316430688179123,0.0014925373134328358,0.4869888475836431,0.7186440677966102,0.748344370860927,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-13,0.5255186038854133,0.03283582089552239,0.4758364312267657,0.5389830508474577,0.5231788079470198,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-14,0.6269344748106684,0.014925373134328358,0.4572490706319702,0.5525423728813559,0.5894039735099337,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-15,0.352650642081001,0.01044776119402985,0.5241635687732341,0.6338983050847458,0.6423841059602649,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-16,0.3019427066183734,0.1044776119402985,0.43494423791821557,0.6271186440677966,0.619205298013245,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-17,0.4211392821863681,0.007462686567164179,0.4758364312267657,0.6305084745762712,0.6788079470198675,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-18,0.42377346065195914,0.0,0.449814126394052,0.6474576271186441,0.6589403973509933,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-19,0.15640434639446824,0.014925373134328358,0.46840148698884754,0.46779661016949153,0.43708609271523174,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-20,0.30457688508396447,0.04776119402985075,0.40148698884758355,0.5084745762711864,0.4437086092715231,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-21,0.17813631873559435,0.06716417910447761,0.345724907063197,0.5966101694915255,0.629139072847682,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-22,0.2976621666117879,0.03731343283582089,0.43122676579925645,0.5389830508474577,0.5364238410596026,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-23,0.322357589726704,0.0,0.5464684014869887,0.5627118644067797,0.5231788079470198,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-24,0.25782021731972343,0.1,0.4572490706319702,0.4847457627118644,0.4437086092715231,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-25,0.4046756667764241,0.0,0.5464684014869887,0.6711864406779662,0.7350993377483444,1,0,0,1,0,0,0,1,0,0,0,0
